,Unnamed: 0,tweets,sentiment
0,0,#FollowFriday @France_Inte @PKuchly57 @Milipol_Paris for being top engaged members in my community this week :),Positive
1,1,@Lamb2ja Hey James! How odd :/ Please call our Contact Centre on 02392441234 and we will be able to assist you :) Many thanks!,Positive
2,2,@DespiteOfficial we had a listen last night :) As You Bleed is an amazing track. When are you in Scotland?!,Positive
3,3,@97sides CONGRATS :),Positive
4,4,yeaaaah yippppy!!!  my accnt verified rqst has succeed got a blue tick mark on my fb profile :) in 15 days,Positive
5,5,"@BhaktisBanter @PallaviRuhail This one is irresistible :)
#FlipkartFashionFriday http://t.co/EbZ0L2VENM",Positive
6,6,We don't like to keep our lovely customers waiting for long! We hope you enjoy! Happy Friday! - LWWF :) https://t.co/smyYriipxI,Positive
7,7,"@Impatientraider On second thought, there’s just not enough time for a DD :) But new shorts entering system. Sheep must be buying.",Positive
8,8,"Jgh , but we have to go to Bayan :D bye",Positive
9,9,"As an act of mischievousness, am calling the ETL layer of our in-house warehousing app Katamari.

Well… as the name implies :p.",Positive
10,10,#FollowFriday @wncer1 @Defense_gouv for being top influencers in my community this week :),Positive
11,11,Who Wouldn't Love These Big....Juicy....Selfies :) - http://t.co/QVzjgd1uFo http://t.co/oWBL11eQRY,Positive
12,12,@Mish23615351  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
13,13,"@jjulieredburn Perfect, so you already know what's waiting for you :)",Positive
14,14,Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in :) http://t.co/of3DyOzML0,Positive
15,15,Laying out a greetings card range for print today - love my job :-),Positive
16,16,"Friend's lunch... yummmm :)
#Nostalgia #TBS #KU.",Positive
17,17,@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working,Positive
18,18,@oohdawg_ Hi liv :)),Positive
19,19,Hello I need to know something can u fm me on Twitter?? — sure thing :) dm me x http://t.co/W6Dy130BV7,Positive
20,20,#FollowFriday @MBandScott_ @Eric_FLE @pointsolutions3 for being top new followers in my community this week :),Positive
21,21,"@rossbreadmore I've heard the Four Seasons is pretty dope. Penthouse, obvs #Gobigorgohome
Have fun y'all :)",Positive
22,22,@gculloty87 Yeah I suppose she was lol! Chat in a bit just off out x :)),Positive
23,23,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301,Positive
24,24,💅🏽💋 - :)))) haven't seen you in years,Positive
25,25,@Bosslogic @amellywood @CW_Arrow @ARROWwriters Thank you! :-),Positive
26,26,@johngutierrez1 hope the rest of your night goes by quickly... I am off to bed... got my music fix and now it is time to dream  :),Positive
27,27,"Spiritual Ritual Festival (Népal)
Beginning of Line-up :)
It is left for the line-up (y)
See more at:... http://t.co/QMNz62OEuc",Positive
28,28,@ke7zum Hey Sarah! Send us an email at bitsy@bitdefender.com and we'll help you asap :),Positive
29,29,@izzkamilhalda lols. :D,Positive
30,30,MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot :) http://t.co/TnHJD36yzf,Positive
31,31,@KalinWhite come to my house :))))),Positive
32,32,"#nsn_supplements, Effective press release distribution with results! :) [link removed] #PressRelease #NewsDistribution",Positive
33,33,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x46",Positive
34,34,everyone watch the documentary Earthlings on YouTube :-),Positive
35,35,@jamiefigsxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
36,36,#FollowFriday @MichelBauza @InvataOnline for being top supports in my community this week :),Positive
37,37,buuuuuuuut oh well :-),Positive
38,38,@leisuremarkltd @NoshandQuaff @aktarislam @keanebrands @HeritageSilver I am looking forward to visiting next week #letsgetmessy Jo :-),Positive
39,39,@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh :D,Positive
40,40,"@Joyster2012 @CathStaincliffe Good for you, girl!! Best wishes :-)",Positive
41,41,@_Kimimi A great enough reason to listen to one epic soundtrack. :D,Positive
42,42,@AquaDesignGroup Thank you for the shout out. Have a great Friday :),Positive
43,43,I added a video to a @YouTube playlist http://t.co/yzpfsMxUq0 im back on twitch and today it going to be league :) - 1 / 4,Positive
44,44,Would love to see you dear in #Jordan :) waiting you! @FIRDOZ  :) @VisitJordan @dannyprol,Positive
45,45,"@ABNORMAL_ANA92 oh, okay :D thanks!",Positive
46,46,"@sssniperwolf like how to fake gameplays ;) haha Im kidding, im kidding. You do good stuff :).",Positive
47,47,"@dennislami @Dicle_Aygur, yeah exactly :)",Positive
48,48,Our new product line is in our #etsy shop now! Check it out :) http://t.co/h8exCTLQxg #boxroomcrafts,Positive
49,49,@PeakYourMind I hope your vacation is going great! :D,Positive
50,50,@groovinshawn they are rechargeable and it normally comes with a charger when u buy it :),Positive
51,51,#FollowFriday @France_Espana @reglisse_menthe @CCI_inter for being top engaged members in my community this week :),Positive
52,52,Well she's asleep and I have no one to talk to sooo someone text me :),Positive
53,53,"@brynybrath @smallcappy Yes, I suppose. I bet he'll have a blue fit after hearing her speech today. Pity :-)",Positive
54,54,"Green gardens, midnight sun, beautiful canals dasvidaniya till next visit.:)",Positive
55,55,@KeithRParsons are you scouting SG for a future WLAN pros conference here in Asia? :),Positive
56,56,"@Cecilie_Hell @420evilangel @wazimotometal @durooooooo @spigranty Good for u, better change it to lollipop 🍭 :).",Positive
57,57,We &lt;3 u Nez :) #AGNEZMO https://t.co/cGViMHSINz,Positive
58,58,@LittleMix Follow me Please :)  This is my Big Dream :),Positive
59,59,@Elemaaan  oley be :D,Positive
60,60,"""@CowokAddict: Mama is the only reason why I stand stronger up to now! :)""",Positive
61,61,@MacatangayApril  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
62,62,"@tk_kjk_kndr @boukendreamer OH MY GOD MISTY, MY BABY IS SO CUTE!!! :D",Positive
63,63,"@BhaktisBanter 

I love blue :)
#FlipkartFashionFriday http://t.co/HnbinH35ES",Positive
64,64,"@CarcassDrop Woohoo! Can't wait :) Have you signed up yet, or still thinking about it? MKa",Positive
65,65,i have liam access now :)),Positive
66,66,@SyuhxdxTengku most welcome :),Positive
67,67,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/p6K6SiH58a.,Positive
68,68,@sluttywife2 you shouldn't be surprised...you have an amazing figure :),Positive
69,69,#FollowFriday @murtishaw @aqui_fr @FRTechStartups for being top influencers in my community this week :),Positive
70,70,"#HappyBirthdayEmilyBett @emilybett :) Wishing you all the best you beautiful,sweet,talented,amazing… https://t.co/humtC1tr3I",Positive
71,71,2 plans for the day down the drain great :):,Positive
72,72,@x123456789tine @5SOS_FAHUpdates gotta love timezones :p,Positive
73,73,"are your parents proud of you — lol, not in the least :D maybe sometimes they get happy because of my grades, al... http://t.co/bJjeGIOOGU",Positive
74,74,Grande :)  https://t.co/gsaaxNpR8u,Positive
75,75,Manila_bro has chosen to follow me on Twitter! http://t.co/lKXZWXN1fb. Thanks for the follow :),Positive
76,76,@syazwanzainal sure let me know when you're around..at this side of the world #eh u too take care :-),Positive
77,77,#FollowFriday @michae1green @superninjaalan @Doug_Laney for being top new followers in my community this week :),Positive
78,78,finally the fucking weekend :),Positive
79,79,REAL :),Positive
80,80,@LoLEsportspedia thanks :D,Positive
81,81,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x45",Positive
82,82,YES! I Joined #HushedCallWithFraydoe for a call &amp; gift from @_Fraydoe &lt;3 Gotta Get @HushedApp :D http://t.co/VaLVe8omdT,Positive
83,83,@YasLarry yeahhh :),Positive
84,84,can I DM you &amp; make your night better :))),Positive
85,85,just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/kGfgawdHy9,Positive
86,86,Would really appreciate it if you share this video around :) https://t.co/MhK3B3wOpQ,Positive
87,87,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @xhebenkewu_9920,Positive
88,88,@TomParker oh wow!! That is beautiful tom :),Positive
89,89,Love You @darlingIXHAI22 @SyreenAnne :)) https://t.co/wx7yRrE7sV,Positive
90,90,I added a video to a @YouTube playlist http://t.co/HVVPhSYakA im back on twitch and today it going to be league :) - 1 / 3,Positive
91,91,#FollowFriday @AmericanOGrain @PecomeP @APaulicand for being top supports in my community this week :),Positive
92,92,@ZaynZaynmalik30  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive
93,93,Gym Monday can't wait :). Likes,Positive
94,94,"@HarNiLiZaLouis Hey, here's your invite to join Scope as an influencer :)  http://t.co/rZgZtQ2fJT",Positive
95,95,Those friends know themselves :),Positive
96,96,waiting for nudes :-),Positive
97,97,@JacobWhitesides go sleep u ! :))))))))),Positive
98,98,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/RB8pMNgMEo.,Positive
99,99,My birthday is a week today! :D,Positive
100,100,@metalgear_jp @Kojima_Hideo I want you're T-shirts ! They are so cool ! :D,Positive
101,101,@AxeRade haw phela if am not looking like Mom obviously am looking like him :),Positive
102,102,@zaynmalik prince charming on stage :) x https://t.co/OnVFhzt5fZ,Positive
103,103,i have really good luck :),Positive
104,104,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/XzsOGaC4zK.,Positive
105,105,#FollowFriday @straz_das @DCarsonCPA @GH813600 for being top engaged members in my community this week :),Positive
106,106,@twentyonepilots @fujirock_jp tylers hipster glasses :D,Positive
107,107,"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)",Positive
108,108,@UKBusinessLunch Hi we will be joining you again today :),Positive
109,109,@LAfitnessUKhelp done thanks :-),Positive
110,110,"Its already afternoon, lets read Al Kahfi before the day finish :)",Positive
